@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,prism:eIssn,prism:issueIdentifier,freetoread,freetoreadLabel
true,https://api.elsevier.com/content/abstract/scopus_id/105029658222,2-s2.0-105029658222,Time lapse X-ray imaging reveals dual-role significance of hot cracks in high-temperature fatigued L-PBF Hastelloy X,Zhang H.,International Journal of Fatigue,01421123,208,,2026-07-01,July 2026,10.1016/j.ijfatigue.2026.109558,0,"[{'@_fa': 'true', 'affilname': 'Southwest Jiaotong University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Beijing Institute of Aeronautical Materials', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'AECC Commercial Aircraft Engine Co., Ltd', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'TaiHang Laboratory', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105029703052,2-s2.0-105029703052,Interdiffusion behavior of NiCrAlYSi coatings in laser additive manufacturing and as-cast single-crystal superalloys,Liu Y.,Materials Letters,0167577X,410,,2026-05-01,1 May 2026,10.1016/j.matlet.2026.140238,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,18734979,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032179102,2-s2.0-105032179102,Crack elimination and mechanical performance enhancement of selective laser melted CM247LC superalloy,Xu Y.,Materials Science and Engineering A,09215093,959,,2026-05-01,May 2026,10.1016/j.msea.2026.150085,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Solidification Processing', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Suzhou Laboratory', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032196883,2-s2.0-105032196883,Effect of helium ion irradiation on microstructure of additive manufactured Inconel 718 alloy,Sun L.,Journal of Nuclear Materials,00223115,626,,2026-05-01,May 2026,10.1016/j.jnucmat.2026.156581,0,"[{'@_fa': 'true', 'affilname': 'Southeast University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Suzhou Nuclear Power Research Institute Co. Ltd.', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Jiangsu Key Laboratory for Advanced Metallic Materials', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032061271,2-s2.0-105032061271,Role of cellular structures and L12-γ′ precipitates on the strengthening of laser powder bed fused cobalt-based superalloy GH159,Yan X.,Materials Science and Engineering A,09215093,959,,2026-05-01,May 2026,10.1016/j.msea.2026.150023,0,"[{'@_fa': 'true', 'affilname': 'Guizhou University', 'affiliation-city': 'Guiyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Mechanical and Aerospace Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}, {'@_fa': 'true', 'affilname': 'A-Star, Institute of Materials Research and Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032179236,2-s2.0-105032179236,Powder-level carbide modification controls HIP grain growth and enhances fatigue in reused additively manufactured superalloy,Gruber K.,Additive Manufacturing,,121,,2026-04-05,5 April 2026,10.1016/j.addma.2026.105152,0,"[{'@_fa': 'true', 'affilname': 'Politechnika Wrocławska', 'affiliation-city': 'Wroclaw', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'University of Patras', 'affiliation-city': 'Rio', 'affiliation-country': 'Greece'}, {'@_fa': 'true', 'affilname': 'Paul Scherrer Institut', 'affiliation-city': 'Villigen', 'affiliation-country': 'Switzerland'}, {'@_fa': 'true', 'affilname': 'Niels Bohr Institutet', 'affiliation-city': 'Copenhagen', 'affiliation-country': 'Denmark'}, {'@_fa': 'true', 'affilname': 'Laboratory for Neutron Scattering, Villigen', 'affiliation-city': 'Villigen', 'affiliation-country': 'Switzerland'}]",Journal,ar,Article,0,False,22148604,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105029904556,2-s2.0-105029904556,Instance segmentation and microstructure characterization based on powder microscopic image data,He S.,Materials Characterization,10445803,234,,2026-04-01,April 2026,10.1016/j.matchar.2026.116051,0,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Huazhong Agricultural University', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chengdu Advanced Metal Materials Industry Technology Research Institute Limited Company', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Vanadium and Titanium Resources Comprehensive Utilization', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105030138211,2-s2.0-105030138211,Achieving super wear resistance in additively manufactured eutectic high-entropy alloys via self-hardening design at intermediate temperatures,Sun Y.,Advanced Composites and Hybrid Materials,25220128,9,,2026-04-01,April 2026,10.1007/s42114-026-01649-2,0,"[{'@_fa': 'true', 'affilname': 'The Hong Kong Polytechnic University', 'affiliation-city': 'Hong Kong', 'affiliation-country': 'Hong Kong'}, {'@_fa': 'true', 'affilname': 'School of Mechanical Engineering and Automation, Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,25220136,2,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105030275306,2-s2.0-105030275306,Effect of heat input and welding direction on microstructure and mechanical properties of electron beam welded nickel-based superalloy joints processed by laser powder bed fusion,Tong Y.,Materials Characterization,10445803,234,,2026-04-01,April 2026,10.1016/j.matchar.2026.116170,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Jiao Tong University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Suzhou Laboratory', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105030931417,2-s2.0-105030931417,Investigating microstructure and mechanical properties of gradient joints between GH3230 and 316 L dissimilar alloys fabricated by directed energy deposition,Wang L.,Materials Characterization,10445803,234,,2026-04-01,April 2026,10.1016/j.matchar.2026.116188,0,"[{'@_fa': 'true', 'affilname': 'Sichuan University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Southwest Minzu University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Yangtze Normal University', 'affiliation-city': 'Chongqing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
