@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105032726841,2-s2.0-105032726841,Effect of microstructural evolution of additively manufactured nickel-based single crystal superalloy on interdiffusion behavior in bond coat/superalloy system,Liu Y.,Vacuum,0042207X,18792715,248,,2026-05-01,May 2026,10.1016/j.vacuum.2026.115220,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032179102,2-s2.0-105032179102,Crack elimination and mechanical performance enhancement of selective laser melted CM247LC superalloy,Xu Y.,Materials Science and Engineering A,09215093,,959,,2026-05-01,May 2026,10.1016/j.msea.2026.150085,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Solidification Processing', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Suzhou Laboratory', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032196883,2-s2.0-105032196883,Effect of helium ion irradiation on microstructure of additive manufactured Inconel 718 alloy,Sun L.,Journal of Nuclear Materials,00223115,,626,,2026-05-01,May 2026,10.1016/j.jnucmat.2026.156581,0,"[{'@_fa': 'true', 'affilname': 'Southeast University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Suzhou Nuclear Power Research Institute Co. Ltd.', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Jiangsu Key Laboratory for Advanced Metallic Materials', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032061271,2-s2.0-105032061271,Role of cellular structures and L12-γ′ precipitates on the strengthening of laser powder bed fused cobalt-based superalloy GH159,Yan X.,Materials Science and Engineering A,09215093,,959,,2026-05-01,May 2026,10.1016/j.msea.2026.150023,0,"[{'@_fa': 'true', 'affilname': 'Guizhou University', 'affiliation-city': 'Guiyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Mechanical and Aerospace Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}, {'@_fa': 'true', 'affilname': 'A-Star, Institute of Materials Research and Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105033227896,2-s2.0-105033227896,"A review on additive manufacturing of CM247LC nickel-based superalloy: Cracking mechanisms, suppression strategies, and microstructure-property control",Hu Z.,Journal of Alloys and Compounds,09258388,,1061,,2026-04-05,5 April 2026,10.1016/j.jallcom.2026.187453,0,"[{'@_fa': 'true', 'affilname': 'Wuhan University of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'National Key Laboratory for Remanufacturing Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032858173,2-s2.0-105032858173,A high-throughput laser additive manufacturing strategy for probing composition-dependent cracking in a novel Ni-based superalloy,Liu W.,Journal of Alloys and Compounds,09258388,,1061,,2026-04-05,5 April 2026,10.1016/j.jallcom.2026.187226,0,"[{'@_fa': 'true', 'affilname': 'Shandong University of Science and Technology', 'affiliation-city': 'Qingdao', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Yantai University', 'affiliation-city': 'Yantai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032179236,2-s2.0-105032179236,Powder-level carbide modification controls HIP grain growth and enhances fatigue in reused additively manufactured superalloy,Gruber K.,Additive Manufacturing,,22148604,121,,2026-04-05,5 April 2026,10.1016/j.addma.2026.105152,0,"[{'@_fa': 'true', 'affilname': 'Politechnika Wrocławska', 'affiliation-city': 'Wroclaw', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'University of Patras', 'affiliation-city': 'Rio', 'affiliation-country': 'Greece'}, {'@_fa': 'true', 'affilname': 'Paul Scherrer Institut', 'affiliation-city': 'Villigen', 'affiliation-country': 'Switzerland'}, {'@_fa': 'true', 'affilname': 'Niels Bohr Institutet', 'affiliation-city': 'Copenhagen', 'affiliation-country': 'Denmark'}, {'@_fa': 'true', 'affilname': 'Laboratory for Neutron Scattering, Villigen', 'affiliation-city': 'Villigen', 'affiliation-country': 'Switzerland'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105032510341,2-s2.0-105032510341,Fe-based super austenitic stainless steel fabricated via laser powder bed fusion: Unprecedented synergy of room-temperature and elevated-temperature strength-ductility,Zhang W.,Materials Characterization,10445803,,234,,2026-04-01,April 2026,10.1016/j.matchar.2026.116241,0,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Mechanical and Aerospace Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}, {'@_fa': 'true', 'affilname': 'Shanghai Engineering Technology Research Center of Near-Net-Shape Forming for Metallic Materials', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032706975,2-s2.0-105032706975,Thermal Expansion and Microstructure of Laser Additively Manufactured Inconel 617 for Small Modular Reactors,Yepez K.,JOM,10474838,15431851,78,3138-3155,2026-04-01,April 2026,10.1007/s11837-026-08159-y,0,"[{'@_fa': 'true', 'affilname': 'University of Alberta', 'affiliation-city': 'Edmonton', 'affiliation-country': 'Canada'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",4
true,https://api.elsevier.com/content/abstract/scopus_id/105031786077,2-s2.0-105031786077,Rapid characterization of high-temperature oxidation via X-ray diffraction in laser-deposited superalloys,Wu T.,Materials Characterization,10445803,,234,,2026-04-01,April 2026,10.1016/j.matchar.2026.116232,0,"[{'@_fa': 'true', 'affilname': 'Robert R. McCormick School of Engineering and Applied Science', 'affiliation-city': 'Evanston', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105032683871,2-s2.0-105032683871,"Challenges, Solutions, and Future Perspectives in Metal Additive Manufacturing: A Review",Chen M.,Journal of Materials Engineering and Performance,10599495,15441024,,,2026-01-01,2026,10.1007/s11665-026-13546-2,1,"[{'@_fa': 'true', 'affilname': 'Wuhan University of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Wuhan Institute of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Advanced Technology for Materials Synthesis and Processing', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105033298271,2-s2.0-105033298271,Effect of Nb Segregation on High-Temperature Oxidation Behavior of Inconel 718 Superalloy Fabricated by Wire Arc Additive Manufacturing at 900 °C,Zhang X.,Journal of Materials Engineering and Performance,10599495,15441024,,,2026-01-01,2026,10.1007/s11665-026-13483-0,0,"[{'@_fa': 'true', 'affilname': 'Swanson School of Engineering', 'affiliation-city': 'Pittsburgh', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Nanjing Institute of Technology', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
