@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,prism:eIssn,freetoread,freetoreadLabel,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105037444419,2-s2.0-105037444419,High-temperature creep failure mechanisms of Inconel 718 fabricated via additive manufacturing: influence of build orientation and geometric discontinuities,Tahsin Z.,Engineering Failure Analysis,13506307,193,,2026-08-01,1 August 2026,10.1016/j.engfailanal.2026.110922,0,"[{'@_fa': 'true', 'affilname': 'College of Engineering', 'affiliation-city': 'Columbia', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Purdue University Northwest', 'affiliation-city': 'Westville', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105037452927,2-s2.0-105037452927,High-temperature mechanical properties of a γ′-strengthened Co-based superalloy designed for additive manufacturing,Holtham N.,Scripta Materialia,13596462,281,,2026-08-01,1 August 2026,10.1016/j.scriptamat.2026.117369,0,"[{'@_fa': 'true', 'affilname': 'Oak Ridge National Laboratory', 'affiliation-city': 'Oak Ridge', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'The Robert Mehrabian College of Engineering', 'affiliation-city': 'Santa Barbara', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Carpenter Technology Corporation', 'affiliation-city': 'Reading', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105036236556,2-s2.0-105036236556,Coherent γ′-precipitated strengthening in Fe-Ni-based high-entropy superalloys fabricated by laser direct energy deposition,Yue J.,Vacuum,0042207X,251,,2026-08-01,August 2026,10.1016/j.vacuum.2026.115347,0,"[{'@_fa': 'true', 'affilname': 'Dalian University of Technology', 'affiliation-city': 'Dalian', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'China Academy of Engineering Physics', 'affiliation-city': 'Mianyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,18792715,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105037047129,2-s2.0-105037047129,Influence of Y2O3 nanoparticles on the microstructure and mechanical properties of an additively manufactured Ni-based superalloy,Zi N.,Vacuum,0042207X,251,,2026-08-01,August 2026,10.1016/j.vacuum.2026.115419,0,"[{'@_fa': 'true', 'affilname': 'Beihang University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hebei University of Technology', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,18792715,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105036054423,2-s2.0-105036054423,A physics informed machine learning framework for fatigue life prediction of additively manufactured Ni-based superalloy,Wang P.,Engineering Fracture Mechanics,00137944,341,,2026-07-10,10 July 2026,10.1016/j.engfracmech.2026.112200,0,"[{'@_fa': 'true', 'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Sapienza Università di Roma', 'affiliation-city': 'Rome', 'affiliation-country': 'Italy'}, {'@_fa': 'true', 'affilname': 'Beihang University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of Process Engineering Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of Mechanics Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Suzhou Laboratory', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105036678384,2-s2.0-105036678384,Microplasticity and macroplasticity behavior of additively manufactured IN 718: In-situ synchrotron X-ray diffraction and dislocation-based crystal plasticity modeling,Luo C.,International Journal of Plasticity,07496419,202,,2026-07-01,July 2026,10.1016/j.ijplas.2026.104703,0,"[{'@_fa': 'true', 'affilname': 'Tsinghua University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of High Energy Physics, Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'National Key Laboratory of Strength and Structural Integrity', 'affiliation-city': 'Shaanxi', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105035233556,2-s2.0-105035233556,Field-assisted additive manufacturing of nickel-based superalloys: A review,Chen M.,Journal of Manufacturing Processes,15266125,168,52-93,2026-06-30,30 June 2026,10.1016/j.jmapro.2026.04.015,0,"[{'@_fa': 'true', 'affilname': 'Wuhan University of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Wuhan Institute of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Advanced Technology for Materials Synthesis and Processing', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105036190459,2-s2.0-105036190459,Strain-age cracking of a γ′-strengthened nickel-based superalloy additively manufactured by laser powder bed fusion,Xu J.,Acta Materialia,13596454,312,,2026-06-15,15 June 2026,10.1016/j.actamat.2026.122244,0,"[{'@_fa': 'true', 'affilname': 'Chalmers University of Technology', 'affiliation-city': 'Gothenburg', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'Linköpings Universitet', 'affiliation-city': 'Linkoping', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'EOS Electro Optical Systems Finland Oy', 'affiliation-city': 'Turku', 'affiliation-country': 'Finland'}]",Journal,ar,Article,1,True,,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105036346533,2-s2.0-105036346533,Laser powder bed fusion of crack-free GH3230 superalloy via grain boundary carbon segregation,Wang L.,Materials Characterization,10445803,236,,2026-06-01,June 2026,10.1016/j.matchar.2026.116413,0,"[{'@_fa': 'true', 'affilname': 'Shandong University', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105036101946,2-s2.0-105036101946,Tailoring microstructure using pulsed electromagnetic field-assisted directed energy deposition,Fang H.,Materials Today Advances,,30,,2026-06-01,June 2026,10.1016/j.mtadv.2026.100784,0,"[{'@_fa': 'true', 'affilname': 'Queen Mary University of London', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'Zhejiang University of Technology', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Metallurgy and Materials Research Institute Chulalongkorn University', 'affiliation-city': 'Bangkok', 'affiliation-country': 'Thailand'}]",Journal,ar,Article,1,True,25900498,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105035100233,2-s2.0-105035100233,Directed energy deposition of Haynes 282 nickel superalloy,Monson A.G.,Materials Science and Engineering A,09215093,963,,2026-06-01,June 2026,10.1016/j.msea.2026.150205,0,"[{'@_fa': 'true', 'affilname': 'Idaho National Laboratory', 'affiliation-city': 'Idaho Falls', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Boise State University', 'affiliation-city': 'Boise', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105035158836,2-s2.0-105035158836,A Physics-based investigation of solidification morphology and microcracking in a high-γ′ Ni-based superalloy during Selective Laser Melting,Salem M.K.A.,Acta Materialia,13596454,311,,2026-06-01,1 June 2026,10.1016/j.actamat.2026.122170,0,"[{'@_fa': 'true', 'affilname': 'University of Birmingham', 'affiliation-city': 'Birmingham', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'The University of Sheffield', 'affiliation-city': 'Sheffield', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105036307649,2-s2.0-105036307649,Microstructure and mechanical properties of Ni superalloy fabricated by laser directed energy deposition (L-DED) versus laser powder bed fusion (L-PBF),Yang X.,Archives of Civil and Mechanical Engineering,16449665,26,,2026-05-01,May 2026,10.1007/s43452-026-01520-7,0,"[{'@_fa': 'true', 'affilname': 'Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hangzhou City University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Belarusian National Technical University', 'affiliation-city': 'Minsk', 'affiliation-country': 'Belarus'}]",Journal,ar,Article,0,False,20833318,,,3
true,https://api.elsevier.com/content/abstract/scopus_id/105035319638,2-s2.0-105035319638,Recrystallization Behavior during Postprocessing of an Additively Manufactured Nickel-Based Superalloy,Swaminathan K.,Metallurgical and Materials Transactions A Physical Metallurgy and Materials Science,10735623,57,2157-2175,2026-05-01,May 2026,10.1007/s11661-026-08179-y,0,"[{'@_fa': 'true', 'affilname': 'Högskolan Väst', 'affiliation-city': 'Trollhattan', 'affiliation-country': 'Sweden'}]",Journal,ar,Article,1,True,15431940,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",5
true,https://api.elsevier.com/content/abstract/scopus_id/105035446695,2-s2.0-105035446695,The oxidation corrosion behavior of CoNiCrAlY bond coated on Haynes 230 matrix fabricated by laser powder bed fusion,Cheng Z.,Journal of Materials Science,00222461,61,14425-14440,2026-05-01,May 2026,10.1007/s10853-026-12644-9,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Jiao Tong University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Henan University of Science and Technology', 'affiliation-city': 'Luoyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'University of South China', 'affiliation-city': 'Hengyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Xinxiang University', 'affiliation-city': 'Xinxiang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,15734803,,,20
true,https://api.elsevier.com/content/abstract/scopus_id/105035258789,2-s2.0-105035258789,"A Review on Cracking in Laser Additive Manufacturing of Nickel-Based Superalloys: Types, Formation Mechanisms, and Suppression Strategies",Lin T.,Rare Metals,10010521,45,,2026-04-01,April 2026,10.1002/rar2.70180,0,"[{'@_fa': 'true', 'affilname': 'Xiamen University', 'affiliation-city': 'Xiamen', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chongqing Jiaotong University', 'affiliation-city': 'Chongqing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'AECC Hunan Aviation Powerplant Research Institute', 'affiliation-city': 'Zhuzhou', 'affiliation-country': 'China'}]",Journal,re,Review,1,True,18677185,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",4
true,https://api.elsevier.com/content/abstract/scopus_id/105037211968,2-s2.0-105037211968,Microstructure Evolution and Solute Segregation of Inconel 718 in Laser Additive Manufacturing: A Numerical and Experimental Investigation,Liu H.,Materials,,19,,2026-04-01,April 2026,10.3390/ma19081642,0,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Foshan University', 'affiliation-city': 'Foshan', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,19961944,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",8
