@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105045947286,2-s2.0-105045947286,A review of processing and performance of MAR-M247 nickel-based superalloy for aerospace applications,Roozban F.,Results in Engineering,25901230,32,,2026-12-01,December 2026,10.1016/j.rineng.2026.112169,0,"[{'@_fa': 'true', 'affilname': 'Tarbiat Modares University', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}, {'@_fa': 'true', 'affilname': 'Iran University of Science and Technology', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}, {'@_fa': 'true', 'affilname': 'Islamic Azad University, Karaj Branch', 'affiliation-city': 'Karaj', 'affiliation-country': 'Iran'}, {'@_fa': 'true', 'affilname': 'Materials and Energy Research Centre Iran', 'affiliation-city': 'Karaj', 'affiliation-country': 'Iran'}]",Journal,re,Review,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
true,https://api.elsevier.com/content/abstract/scopus_id/105044860081,2-s2.0-105044860081,A 3D-printed in-situ precipitate-strengthened eutectic high-entropy alloy for elevated temperatures via high-throughput CALPHAD screening,Wang Z.,Scripta Materialia,,284,,2026-11-01,1 November 2026,10.1016/j.scriptamat.2026.117491,0,"[{'@_fa': 'true', 'affilname': 'Tickle College of Engineering', 'affiliation-city': 'Knoxville', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Yantai University', 'affiliation-city': 'Yantai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd', 'affiliation-city': 'Shenzhen', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shandong Key Laboratory of Advanced Structural Materials Genome Engineering', 'affiliation-city': 'Yantai', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,13596462,
true,https://api.elsevier.com/content/abstract/scopus_id/105044287345,2-s2.0-105044287345,Experimental and numerical investigation of low-cycle fatigue in additively manufactured K418B hollow turbine disks: full-scale spin testing and life prediction,Oskui A.E.h.,Engineering Failure Analysis,,197,,2026-11-01,1 November 2026,10.1016/j.engfailanal.2026.111233,0,"[{'@_fa': 'true', 'affilname': 'Zhejiang University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Moganshan Institute ZJUT', 'affiliation-city': 'Deqing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,13506307,
true,https://api.elsevier.com/content/abstract/scopus_id/105045165187,2-s2.0-105045165187,500 °C-resistant Al alloys achieved by additive manufacturing,Wang Z.,Materials Today,18734103,99,,2026-10-01,October 2026,10.1016/j.mattod.2026.103453,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Jiao Tong University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': ""Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Université Grenoble Alpes', 'affiliation-city': ""Saint Martin d'Heres"", 'affiliation-country': 'France'}, {'@_fa': 'true', 'affilname': 'Suzhou Laboratory', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,13697021,
true,https://api.elsevier.com/content/abstract/scopus_id/105044135822,2-s2.0-105044135822,"Machine learning design of printable high-strength, high Al+Ti nickel-based superalloy",Tian P.,Materials Science and Engineering A,,973,,2026-10-01,October 2026,10.1016/j.msea.2026.150748,0,"[{'@_fa': 'true', 'affilname': 'Lanzhou University of Technology', 'affiliation-city': 'Lanzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Tianshui Normal University', 'affiliation-city': 'Tianshui', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Henan Academy of Sciences', 'affiliation-city': 'Zhengzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,09215093,
true,https://api.elsevier.com/content/abstract/scopus_id/105044807898,2-s2.0-105044807898,Effect of heat treatment on microstructural evolution and mechanical behavior of additively manufactured IN939 superalloy,Shahwaz M.,Materials Science and Engineering A,,973,,2026-10-01,October 2026,10.1016/j.msea.2026.150716,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Kharagpur', 'affiliation-city': 'Kharagpur', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Dublin City University', 'affiliation-city': 'Dublin', 'affiliation-country': 'Ireland'}]",Journal,ar,Article,0,False,,,09215093,
true,https://api.elsevier.com/content/abstract/scopus_id/105043748522,2-s2.0-105043748522,Porosity suppression and synchronous strengthening via phase engineering in an additively manufactured superalloy,Liu G.,Journal of Manufacturing Processes,,173,691-708,2026-09-15,15 September 2026,10.1016/j.jmapro.2026.06.089,0,"[{'@_fa': 'true', 'affilname': 'Tsinghua University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Nanjing University of Aeronautics and Astronautics', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Changsha University of Science and Technology', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'College of Mechanical and Electrical Engineering', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,15266125,
true,https://api.elsevier.com/content/abstract/scopus_id/105043416454,2-s2.0-105043416454,Anomalous 3D internal oxide network formation in Ni-based superalloy 247 processed by electron beam powder bed fusion additive manufacturing,Hariharan K.,Corrosion Science,,270,,2026-09-01,September 2026,10.1016/j.corsci.2026.114076,0,"[{'@_fa': 'true', 'affilname': 'Rheinisch-Westfälische Technische Hochschule Aachen', 'affiliation-city': 'Aachen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Friedrich-Alexander-Universität Erlangen-Nürnberg', 'affiliation-city': 'Erlangen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Indian Institute of Technology Bombay', 'affiliation-city': 'Mumbai', 'affiliation-country': 'India'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",0010938X,
true,https://api.elsevier.com/content/abstract/scopus_id/105043996335,2-s2.0-105043996335,Recent advances in phase-field modeling of microstructural evolution in superalloys,Zhang Y.,Materials Science and Engineering R Reports,,171,,2026-09-01,September 2026,10.1016/j.mser.2026.101268,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Jiao Tong University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chongqing University', 'affiliation-city': 'Chongqing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'North University of China', 'affiliation-city': 'Taiyuan', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,0927796X,
true,https://api.elsevier.com/content/abstract/scopus_id/105044893354,2-s2.0-105044893354,Use of Rhenium-alloyed powders in additive manufacturing: Current status and challenges,Duman İ.C.,Journal of Alloys and Compounds,,1079,,2026-08-15,15 August 2026,10.1016/j.jallcom.2026.189864,0,"[{'@_fa': 'true', 'affilname': 'Karadeniz Technical University', 'affiliation-city': 'Trabzon', 'affiliation-country': 'Turkey'}, {'@_fa': 'true', 'affilname': 'Arifov Institute of Ion-Plasma and Laser Technologies', 'affiliation-city': 'Tashkent', 'affiliation-country': 'Uzbekistan'}]",Journal,re,Review,0,False,,,09258388,
