@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,prism:eIssn,freetoread,freetoreadLabel
true,https://api.elsevier.com/content/abstract/scopus_id/105026964735,2-s2.0-105026964735,Process gas influence on Very-High-Cycle fatigue response of Inconel 718 fabricated by laser powder bed fusion,Rauf A.,International Journal of Fatigue,01421123,206,,2026-05-01,May 2026,10.1016/j.ijfatigue.2025.109460,0,"[{'@_fa': 'true', 'affilname': 'KU Leuven', 'affiliation-city': 'Leuven', 'affiliation-country': 'Belgium'}, {'@_fa': 'true', 'affilname': 'Samuel Ginn College of Engineering', 'affiliation-city': 'Auburn', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027244896,2-s2.0-105027244896,Optimized processing parameters for crack-free fabrication of unweldable Inconel 738LC via directed energy deposition,Ekubaru Y.,Optics and Laser Technology,00303992,196,,2026-04-01,April 2026,10.1016/j.optlastec.2026.114727,0,"[{'@_fa': 'true', 'affilname': 'Nikon Corporation', 'affiliation-city': 'Tokyo', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'Technology Nikon AM', 'affiliation-city': 'Long Beach', 'affiliation-country': 'United States'}]",Journal,ar,Article,1,True,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027568074,2-s2.0-105027568074,A theoretical model for predicting multi-cracking susceptibility in Ni-based superalloys fabricated by additive manufacturing,Li M.,Journal of Materials Processing Technology,09240136,349,,2026-03-01,March 2026,10.1016/j.jmatprotec.2026.119219,0,"[{'@_fa': 'true', 'affilname': 'State Key Laboratory for Manufacturing Systems Engineering', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,18734774,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027046735,2-s2.0-105027046735,On the anisotropic creep behavior of a Ni-base superalloy CM247LC manufactured by powder bed fusion – laser beam,Fardan A.,Materials Science and Engineering A,09215093,953,,2026-02-01,February 2026,10.1016/j.msea.2025.149707,0,"[{'@_fa': 'true', 'affilname': 'Chalmers University of Technology', 'affiliation-city': 'Gothenburg', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'Linköpings Universitet', 'affiliation-city': 'Linkoping', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'Siemens Energy AB', 'affiliation-city': 'Finspang', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'EOS Electro Optical Systems Finland Oy', 'affiliation-city': 'Turku', 'affiliation-country': 'Finland'}, {'@_fa': 'true', 'affilname': 'Quintus Technologies AB', 'affiliation-city': 'Vasteras', 'affiliation-country': 'Sweden'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027086534,2-s2.0-105027086534,"Metallic lattice structures via additive manufacturing: Applications, challenges and opportunities in aerospace and defence",Akula S.B.,Journal of Manufacturing Processes,15266125,157,1308-1336,2026-01-17,17 January 2026,10.1016/j.jmapro.2025.12.045,0,"[{'@_fa': 'true', 'affilname': 'Gyeongsang National University', 'affiliation-city': 'Jinju', 'affiliation-country': 'South Korea'}, {'@_fa': 'true', 'affilname': 'Indian Institute of Technology Hyderabad', 'affiliation-city': 'Sangareddy', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Indian Institute of Information Technology Design and Manufacturing Kurnool', 'affiliation-city': 'Kurnool', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'DRDO Combat Vehicles Research and Development Establishment', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Vasireddy Venkatadri International Technological University', 'affiliation-city': 'Guntur', 'affiliation-country': 'India'}]",Journal,re,Review,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027103089,2-s2.0-105027103089,Macroscale simulation and experimental correlation of Wire Arc Additive Manufacturing of IN-82 superalloy,Kumar R.,Journal of Alloys and Compounds,09258388,1050,,2026-01-15,15 January 2026,10.1016/j.jallcom.2025.185869,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology (Indian School of Mines), Dhanbad', 'affiliation-city': 'Dhanbad', 'affiliation-country': 'India'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027131927,2-s2.0-105027131927,Microstructural evolution and mechanical behavior of additively manufactured IN939 superalloy at room and elevated temperatures,Shahwaz M.,Journal of Alloys and Compounds,09258388,1050,,2026-01-15,15 January 2026,10.1016/j.jallcom.2026.185949,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Kharagpur', 'affiliation-city': 'Kharagpur', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Dublin City University', 'affiliation-city': 'Dublin', 'affiliation-country': 'Ireland'}, {'@_fa': 'true', 'affilname': 'ANSYS, Inc.', 'affiliation-city': 'Canonsburg', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027803177,2-s2.0-105027803177,"Review on Additive Manufacturing of Nickel-Based Single-Crystal Superalloys: Epitaxial Growth, Crack Mitigation, and Performance Correlation",Li C.,JOM,10474838,,,2026-01-01,2026,10.1007/s11837-025-08103-6,0,"[{'@_fa': 'true', 'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chongqing Jiaotong University', 'affiliation-city': 'Chongqing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chongqing Institute of Green and Intelligent Technology', 'affiliation-city': 'Chongqing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chongqing Key Laboratory of Additive Manufacturing Technology and Systems', 'affiliation-city': 'Chongqing', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,15431851,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027474556,2-s2.0-105027474556,Inconel 625/Al2O3 functionally graded materials manufactured by directed energy deposition,Yu H.Y.,Journal of Materials Research and Technology,22387854,40,3509-3520,2026-01-01,January - February 2026,10.1016/j.jmrt.2026.01.064,0,"[{'@_fa': 'true', 'affilname': 'Tohoku University', 'affiliation-city': 'Sendai', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'Pusan National University', 'affiliation-city': 'Busan', 'affiliation-country': 'South Korea'}, {'@_fa': 'true', 'affilname': 'Pohang University of Science and Technology', 'affiliation-city': 'Pohang', 'affiliation-country': 'South Korea'}, {'@_fa': 'true', 'affilname': 'Gyeongsang National University', 'affiliation-city': 'Jinju', 'affiliation-country': 'South Korea'}, {'@_fa': 'true', 'affilname': 'Kyungnam University', 'affiliation-city': 'Changwon', 'affiliation-country': 'South Korea'}]",Journal,ar,Article,1,True,22140697,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105027143359,2-s2.0-105027143359,Effect of carbon content and heat treatment on the tensile properties of additive manufactured superalloys ZGH98M,Zhao Y.,Journal of Materials Research,08842914,,,2026-01-01,2026,10.1557/s43578-025-01772-8,0,"[{'@_fa': 'true', 'affilname': 'University of Auckland', 'affiliation-city': 'Auckland', 'affiliation-country': 'New Zealand'}, {'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Liaoning Petrochemical University', 'affiliation-city': 'Fushun', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,20445326,,
