@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,prism:eIssn,freetoread,freetoreadLabel,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105027956524,2-s2.0-105027956524,SiC induced in-situ modification: Microstructure and properties of fine-grained SiC/GH3536 Ni-superalloy composites fabricated by laser powder bed fusion,Liang Z.,Journal of Alloys and Compounds,09258388,1054,,2026-02-10,10 February 2026,10.1016/j.jallcom.2026.186362,0,"[{'@_fa': 'true', 'affilname': 'South China University of Technology', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Guangzhou University', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Guangzhou Maritime University', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105028213005,2-s2.0-105028213005,Process Optimization and Microstructural Characterization of Inconel 718 Fabricated via Wire Arc Additive Manufacturing,Kishore M.,Journal of Materials Engineering and Performance,10599495,,,2026-01-01,2026,10.1007/s11665-026-13192-8,0,"[{'@_fa': 'true', 'affilname': 'King Faisal University', 'affiliation-city': 'Al-Ahsa', 'affiliation-country': 'Saudi Arabia'}, {'@_fa': 'true', 'affilname': 'Indian Institute of Technology Indore', 'affiliation-city': 'Indore', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'College of Engineering, Guindy', 'affiliation-city': 'Chennai', 'affiliation-country': 'India'}]",Journal,ar,Article,0,False,15441024,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105028130862,2-s2.0-105028130862,A critical review on additive manufacturing of refractory alloys from a data analytics perspective- beyond nickel-based superalloys,Kim D.B.,Virtual and Physical Prototyping,17452759,,,2026-01-01,2026,10.1080/17452759.2025.2604453,0,"[{'@_fa': 'true', 'affilname': 'Korea Advanced Institute of Science and Technology', 'affiliation-city': 'Daejeon', 'affiliation-country': 'South Korea'}, {'@_fa': 'true', 'affilname': 'Oak Ridge National Laboratory', 'affiliation-city': 'Oak Ridge', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'National Institute of Standards and Technology', 'affiliation-city': 'Gaithersburg', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Air Force Research Laboratory', 'affiliation-city': 'Dayton', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Sandia National Laboratories, New Mexico', 'affiliation-city': 'Albuquerque', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Tickle College of Engineering', 'affiliation-city': 'Knoxville', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Ajou University', 'affiliation-city': 'Suwon', 'affiliation-country': 'South Korea'}, {'@_fa': 'true', 'affilname': 'College of Engineering', 'affiliation-city': 'Athens', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'University of South Carolina - Aiken', 'affiliation-city': 'Aiken', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Transportation Research Institute (IMOB)', 'affiliation-city': 'Hasselt', 'affiliation-country': 'Belgium'}]",Journal,re,Review,1,True,17452767,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105027935365,2-s2.0-105027935365,"Hot isostatic pressing of additively manufactured metallic components: A critical review on microstructure, mechanical, and corrosion properties",Aghayar Y.,Journal of Materials Research and Technology,22387854,40,3343-3381,2026-01-01,January - February 2026,10.1016/j.jmrt.2025.12.306,0,"[{'@_fa': 'true', 'affilname': 'Marine Additive Manufacturing Centre of Excellence', 'affiliation-city': 'Fredericton', 'affiliation-country': 'Canada'}]",Journal,ar,Article,1,True,22140697,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105027844067,2-s2.0-105027844067,Evaluating Thermodynamics-Based Hot-Cracking Models for Various AM Alloys,Jordan A.M.,Integrating Materials and Manufacturing Innovation,21939764,,,2026-01-01,2026,10.1007/s40192-025-00437-y,0,"[{'@_fa': 'true', 'affilname': 'Department of Metallurgical and Materials Engineering', 'affiliation-city': 'Tuscaloosa', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,21939772,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105028331904,2-s2.0-105028331904,Turn Nonweldable Ni-Superalloys Printable and Microstructurally Controllable,Wang Z.,Advanced Materials,09359648,,,2026-01-01,2026,10.1002/adma.202517003,0,"[{'@_fa': 'true', 'affilname': ""Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Guizhou University', 'affiliation-city': 'Guiyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Mechanical and Aerospace Engineering', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}, {'@_fa': 'true', 'affilname': 'A-Star, Advanced Remanufacturing and Technology Centre', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}]",Journal,re,Review,0,False,15214095,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105028247821,2-s2.0-105028247821,Assessment of the cracking susceptibility of CM247LC alloy processed by PBF-LB: composition and process parameters influence,Gil E.,International Journal of Advanced Manufacturing Technology,02683768,,,2026-01-01,2026,10.1007/s00170-025-17329-2,0,"[{'@_fa': 'true', 'affilname': 'Lortek S.Coop.', 'affiliation-city': 'Ordizia', 'affiliation-country': 'Spain'}]",Journal,ar,Article,0,False,14333015,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105027899047,2-s2.0-105027899047,Influence of Post-Processing on S-Phase Formation During Plasma Nitriding of Additively Manufactured Inconel 939,Maj P.,Materials,,19,,2026-01-01,January 2026,10.3390/ma19010130,0,"[{'@_fa': 'true', 'affilname': 'Politechnika Warszawska', 'affiliation-city': 'Warsaw', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'Institute of Physics of the Polish Academy of Sciences', 'affiliation-city': 'Warsaw', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'Cardinal Stefan Wyszynski University in Warsaw', 'affiliation-city': 'Warsaw', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'Narodowe Centrum Badań Jądrowych, Otwock', 'affiliation-city': 'Otwock', 'affiliation-country': 'Poland'}]",Journal,ar,Article,1,True,19961944,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",1
true,https://api.elsevier.com/content/abstract/scopus_id/105028130647,2-s2.0-105028130647,"HEAT-RESISTANT POWDER ALLOYS IN ADDITIVE MANUFACTURING: MATERIALS, APPLICATION, AND PERSPECTIVES",Duriagina Z.A.,Progress in Physics of Metals,16081021,26,863-908,2025-01-01,2025,10.15407/ufm.26.04.863,0,"[{'@_fa': 'true', 'affilname': 'Lviv Polytechnic National University', 'affiliation-city': 'Lviv', 'affiliation-country': 'Ukraine'}, {'@_fa': 'true', 'affilname': 'Oles Honchar Dnipro National University', 'affiliation-city': 'Dnipro', 'affiliation-country': 'Ukraine'}, {'@_fa': 'true', 'affilname': 'Leeds University Business School', 'affiliation-city': 'Leeds', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'Anatolii Pidhornyi Institute of Power Machines and Systems of the National academy of sciences of Ukraine', 'affiliation-city': 'Kharkiv', 'affiliation-country': 'Ukraine'}]",Journal,ar,Article,1,True,26170795,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",4
true,https://api.elsevier.com/content/abstract/scopus_id/105027994873,2-s2.0-105027994873,Microstructural and mechanical characterization of stainless steel 420 and Inconel 718 multi-material structures fabricated using laser directed energy deposition,Aydogan B.,Journal of Manufacturing Processes,15266125,68,1224-1235,2021-08-01,August 2021,10.1016/j.jmapro.2021.06.031,39,"[{'@_fa': 'true', 'affilname': 'College of Engineering', 'affiliation-city': 'East Lansing', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,,
