@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,prism:eIssn,prism:issueIdentifier,freetoread,freetoreadLabel
true,https://api.elsevier.com/content/abstract/scopus_id/105029904556,2-s2.0-105029904556,Instance segmentation and microstructure characterization based on powder microscopic image data,He S.,Materials Characterization,10445803,234,,2026-04-01,April 2026,10.1016/j.matchar.2026.116051,0,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Huazhong Agricultural University', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Chengdu Advanced Metal Materials Industry Technology Research Institute Limited Company', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Vanadium and Titanium Resources Comprehensive Utilization', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105030138211,2-s2.0-105030138211,Achieving super wear resistance in additively manufactured eutectic high-entropy alloys via self-hardening design at intermediate temperatures,Sun Y.,Advanced Composites and Hybrid Materials,25220128,9,,2026-04-01,April 2026,10.1007/s42114-026-01649-2,0,"[{'@_fa': 'true', 'affilname': 'The Hong Kong Polytechnic University', 'affiliation-city': 'Hong Kong', 'affiliation-country': 'Hong Kong'}, {'@_fa': 'true', 'affilname': 'School of Mechanical Engineering and Automation, Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,25220136,2,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105029951971,2-s2.0-105029951971,Composition modification and experimental verification of Hastelloy X superalloy with superior mechanical properties fabricated by laser powder bed fusion,Teng Q.,Journal of Materials Research and Technology,22387854,41,4757-4770,2026-03-01,March - April 2026,10.1016/j.jmrt.2026.02.002,0,"[{'@_fa': 'true', 'affilname': 'Huazhong University of Science and Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Wuhan University of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,22140697,,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105029911815,2-s2.0-105029911815,"In-situ suppression of Laves phases in additively manufactured Inconel 718 via Co alloying: first-principles calculations, influencing mechanisms, and performance",Xie W.,Materials Science and Engineering A,09215093,956,,2026-03-01,March 2026,10.1016/j.msea.2026.149913,0,"[{'@_fa': 'true', 'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105029907293,2-s2.0-105029907293,Formation of fully columnar grains with <100> preferential orientation in IN718 superalloy laser metal deposition via CeO2 addition,Sun M.,Materials Science and Engineering A,09215093,956,,2026-03-01,March 2026,10.1016/j.msea.2026.149933,0,"[{'@_fa': 'true', 'affilname': ""Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105030029786,2-s2.0-105030029786,Mitigating Solidification Cracking in LPBF-Processed K418 Superalloy via Substrate Preheating and Layer Thickness Optimization,Zhao D.,Materials,,19,,2026-02-01,February 2026,10.3390/ma19030501,0,"[{'@_fa': 'true', 'affilname': 'Nanjing Tech University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,19961944,3,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}"
true,https://api.elsevier.com/content/abstract/scopus_id/105029875096,2-s2.0-105029875096,Compositional design of Ni-based superalloys for additive manufacturing: Progress and perspectives,Yin B.,Materials Science and Engineering R Reports,0927796X,,,2026-01-01,2026,10.1016/j.mser.2026.101185,0,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Liaoning Academy of Materials', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105030254098,2-s2.0-105030254098,Surface Scratch Behaviour of Selective Laser Melted Inconel 718 Superalloy,Tiwari S.,Lecture Notes in Mechanical Engineering,21954356,,59-68,2026-01-01,2026,10.1007/978-981-95-2239-2_5,0,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology (BHU) Varanasi', 'affiliation-city': 'Varanasi', 'affiliation-country': 'India'}, {'@_fa': 'true', 'affilname': 'Graphic Era Deemed to be University', 'affiliation-city': 'Dehradun', 'affiliation-country': 'India'}]",Book Series,cp,Conference Paper,0,False,21954364,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105030173919,2-s2.0-105030173919,"Development Of Nickel-based Superalloy 939 For LPBF Additive Manufacturing: Alloy Design, Microstructure, And Mechanical Properties",Hao X.,Euro Powder Metallurgy 2025 Congress and Exhibition Euro Pm 2025,,,,2025-01-01,2025,10.59499/EP256767870,0,"[{'@_fa': 'true', 'affilname': 'Globus Metal Powders Ltd.', 'affiliation-city': None, 'affiliation-country': 'United Kingdom'}]",Conference Proceeding,cp,Conference Paper,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105030213004,2-s2.0-105030213004,Design Of AM High-Performance Shape Memory Alloy For Aerospace Applications,Abrantes G.,Euro Powder Metallurgy 2025 Congress and Exhibition Euro Pm 2025,,,,2025-01-01,2025,10.59499/EP256767869,0,"[{'@_fa': 'true', 'affilname': 'University of Coimbra, Centre for Mechanical Engineering, Materials and Processes', 'affiliation-city': 'Coimbra', 'affiliation-country': 'Portugal'}, {'@_fa': 'true', 'affilname': 'Instituto Pedro Nunes', 'affiliation-city': 'Coimbra', 'affiliation-country': 'Portugal'}, {'@_fa': 'true', 'affilname': 'Instituto de Soldadura e Qualidade', 'affiliation-city': 'Oeiras', 'affiliation-country': 'Portugal'}]",Conference Proceeding,cp,Conference Paper,0,False,,,,
