@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105034389384,2-s2.0-105034389384,Effect of solution temperature on microstructure and high-temperature tensile performance of additive manufacturing Y micro-alloyed GH3536 superalloy,Zhao X.,Materials Letters,0167577X,18734979,414,,2026-07-01,1 July 2026,10.1016/j.matlet.2026.140584,0,"[{'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang University of Technology', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105033874299,2-s2.0-105033874299,Yttrium-driven liquid-film engineering suppresses hot cracking in high-γ′-content nickel-based superalloys under rapid solidification laser glazing,Li Y.,Scripta Materialia,13596462,,279,,2026-07-01,1 July 2026,10.1016/j.scriptamat.2026.117300,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Jiao Tong University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shanghai Key Laboratory of Materials Laser Processing and Modification', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105034468277,2-s2.0-105034468277,"Powder metallurgy in additive manufacturing: Trends, challenges, methods, materials, and emerging applications",Aslan M.,Powder Technology,00325910,1873328X,476,,2026-06-01,June 2026,10.1016/j.powtec.2026.122420,0,"[{'@_fa': 'true', 'affilname': 'Gaziantep Üniversitesi', 'affiliation-city': 'Gaziantep', 'affiliation-country': 'Turkey'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105034258384,2-s2.0-105034258384,Effect of thermal history on microstructure and mechanical properties of laser direct energy deposited Inconel 718,Meng G.,CIRP Journal of Manufacturing Science and Technology,17555817,18780016,66,125-138,2026-06-01,June 2026,10.1016/j.cirpj.2026.02.007,0,"[{'@_fa': 'true', 'affilname': 'Jiangnan University', 'affiliation-city': 'Wuxi', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Mechanical Engineering and Automation, Northeastern University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang Institute of Automation Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105033894453,2-s2.0-105033894453,Long-term aging of LPBF GTD222: η-phase–mediated microstructural instability and tensile property deterioration with TaC added,Li Z.,Materials Science and Engineering A,09215093,,961,,2026-06-01,June 2026,10.1016/j.msea.2026.150142,0,"[{'@_fa': 'true', 'affilname': ""Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shandong University', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shanghai University of Engineering Science', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Huanghuai University', 'affiliation-city': 'Zhumadian', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105035100233,2-s2.0-105035100233,Directed energy deposition of Haynes 282 nickel superalloy,Monson A.G.,Materials Science and Engineering A,09215093,,963,,2026-06-01,June 2026,10.1016/j.msea.2026.150205,0,"[{'@_fa': 'true', 'affilname': 'Idaho National Laboratory', 'affiliation-city': 'Idaho Falls', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Boise State University', 'affiliation-city': 'Boise', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105034615887,2-s2.0-105034615887,Substrate-driven L-DED for crack-free and high-performance nonweldable Ni-based superalloys,Chai H.,Materials Characterization,10445803,,235,,2026-05-01,May 2026,10.1016/j.matchar.2026.116345,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Solidification Processing', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105034725829,2-s2.0-105034725829,A comparative microstructure and microhardness of selective electron beam melted and as-cast Mar-M247 nickel-based superalloy,Lin Y.,Journal of Alloys and Compounds,09258388,,1063,,2026-04-15,15 April 2026,10.1016/j.jallcom.2026.187707,0,"[{'@_fa': 'true', 'affilname': 'Northwest Institute for Nonferrous Metal Research', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105033748339,2-s2.0-105033748339,"PBF-LB/M of Inconel X-750: Correlation between crystallographic features, microstructural evolution, and processing parameters",de Souza Pinto Pereira A.,Journal of Alloys and Compounds,09258388,,1062,,2026-04-10,10 April 2026,10.1016/j.jallcom.2026.187519,0,"[{'@_fa': 'true', 'affilname': 'Technische Universität München', 'affiliation-city': 'Munich', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Friedrich-Alexander-Universität Erlangen-Nürnberg', 'affiliation-city': 'Erlangen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Universidade Federal de Santa Catarina', 'affiliation-city': 'Florianopolis', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'Universität Bayreuth', 'affiliation-city': 'Bayreuth', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Ústavu fyziky materiálů Akademie věd České republiky', 'affiliation-city': 'Brno', 'affiliation-country': 'Czech Republic'}, {'@_fa': 'true', 'affilname': 'Technische Hochschule Ingolstadt', 'affiliation-city': 'Ingolstadt', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Fraunhofer Institute for Casting, Composite and Processing Technology IGCV', 'affiliation-city': 'Augsburg', 'affiliation-country': 'Germany'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105034588579,2-s2.0-105034588579,"Additive manufacturing of Ti2AlNb alloys: A review of process, microstructure, property relationships",Xue X.,Materials Science and Engineering R Reports,0927796X,,169,,2026-04-01,April 2026,10.1016/j.mser.2026.101197,0,"[{'@_fa': 'true', 'affilname': 'The University of Manchester', 'affiliation-city': 'Manchester', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'Monash University', 'affiliation-city': 'Melbourne', 'affiliation-country': 'Australia'}, {'@_fa': 'true', 'affilname': 'Kyushu University', 'affiliation-city': 'Fukuoka', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'University of Science and Technology Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Southwest Jiaotong University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,re,Review,1,True,,,
