@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:eIssn,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105042927764,2-s2.0-105042927764,TaC-reinforced GH4099 superalloy composite for enhanced high-temperature performance by additive manufacturing,Li M.,Composites Part B Engineering,13598368,325,,2026-10-01,October 2026,10.1016/j.compositesb.2026.113920,0,"[{'@_fa': 'true', 'affilname': ""State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105042719880,2-s2.0-105042719880,Prediction of strength and impact toughness of additive manufactured GH4169 superalloy at different temperatures,Zhang Z.,Materials Science and Engineering A,09215093,972,,2026-10-01,October 2026,10.1016/j.msea.2026.150667,0,"[{'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang Institute of Engineering', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': ""Xi'an Space Engine Company Limited"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105043416454,2-s2.0-105043416454,Anomalous 3D internal oxide network formation in Ni-based superalloy 247 processed by electron beam powder bed fusion additive manufacturing,Hariharan K.,Corrosion Science,0010938X,270,,2026-09-01,September 2026,10.1016/j.corsci.2026.114076,0,"[{'@_fa': 'true', 'affilname': 'Rheinisch-Westfälische Technische Hochschule Aachen', 'affiliation-city': 'Aachen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Friedrich-Alexander-Universität Erlangen-Nürnberg', 'affiliation-city': 'Erlangen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Indian Institute of Technology Bombay', 'affiliation-city': 'Mumbai', 'affiliation-country': 'India'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,
true,https://api.elsevier.com/content/abstract/scopus_id/105043125868,2-s2.0-105043125868,Molten pool fluid flow regulation induced grain morphology controlling in laser metal deposited Ni-based superalloy,Hao Z.,Journal of Materials Processing Technology,09240136,354,,2026-08-01,August 2026,10.1016/j.jmatprotec.2026.119403,0,"[{'@_fa': 'true', 'affilname': 'Tianjin University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Hefei University of Technology', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Resources and Materials, Northeastern University', 'affiliation-city': 'Qinhuangdao', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,18734774,
true,https://api.elsevier.com/content/abstract/scopus_id/105042784832,2-s2.0-105042784832,Towards controlled processing of high-conductivity Cu alloy (CuCrZr) on Inconel (IN718) substrate through beam shaping and process control in PBF-LB/M,Crego Lozares J.M.,Journal of Materials Processing Technology,09240136,354,,2026-08-01,August 2026,10.1016/j.jmatprotec.2026.119395,0,"[{'@_fa': 'true', 'affilname': 'RMIT University', 'affiliation-city': 'Melbourne', 'affiliation-country': 'Australia'}, {'@_fa': 'true', 'affilname': 'Hamburg University of Technology', 'affiliation-city': 'Hamburg', 'affiliation-country': 'Germany'}]",Journal,ar,Article,0,False,,,18734774,
true,https://api.elsevier.com/content/abstract/scopus_id/105043489683,2-s2.0-105043489683,"Microstructural screening of intermetallic alloys via an additively manufactured L12-Ni3(Al,Ti)/L12-Co3(Al,W) diffusion couple",Zhou R.,Additive Manufacturing,,127,,2026-07-05,5 July 2026,10.1016/j.addma.2026.105284,0,"[{'@_fa': 'true', 'affilname': 'Robert R. McCormick School of Engineering and Applied Science', 'affiliation-city': 'Evanston', 'affiliation-country': 'United States'}]",Journal,ar,Article,2,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",22148604,
true,https://api.elsevier.com/content/abstract/scopus_id/105042990404,2-s2.0-105042990404,Nanosecond laser polishing of laser powder bed fusion manufactured Haynes 230: Surface quality improvement and surface microstructure evolution,Beránek L.,Journal of Materials Research and Technology,22387854,43,2672-2682,2026-07-01,July - August 2026,10.1016/j.jmrt.2026.06.173,0,"[{'@_fa': 'true', 'affilname': 'Institute of Physics of the Czech Academy of Sciences', 'affiliation-city': 'Prague', 'affiliation-country': 'Czech Republic'}, {'@_fa': 'true', 'affilname': 'Faculty of Mechanical Engineering', 'affiliation-city': 'Prague', 'affiliation-country': 'Czech Republic'}, {'@_fa': 'true', 'affilname': 'New Age Makers Institute of Technology (NAMTECH)', 'affiliation-city': 'Gandhinagar', 'affiliation-country': 'India'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",22140697,
true,https://api.elsevier.com/content/abstract/scopus_id/105043076135,2-s2.0-105043076135,Creep Behavior of Inconel 718 Produced by Laser Powder Bed Fusion (LPBF),Borges D.A.d.S.,Metals,,16,,2026-06-01,June 2026,10.3390/met16060641,0,"[{'@_fa': 'true', 'affilname': 'Universidade Presbiteriana Mackenzie', 'affiliation-city': 'Sao Paulo', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'Termomecanica São Paulo S.A.', 'affiliation-city': 'Sao Bernardo do Campo', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'SENAI Institute of Innovation in Advanced Materials and Nanocomposites', 'affiliation-city': 'Sao Bernardo do Campo', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",20754701,6
true,https://api.elsevier.com/content/abstract/scopus_id/105042913845,2-s2.0-105042913845,Investigation of Additive Friction Stir Deposition of Inconel 718: Mechanical Performance and Microstructural Evolution,Zavari S.,Materials,,19,,2026-06-01,June 2026,10.3390/ma19122482,0,"[{'@_fa': 'true', 'affilname': 'LSU College of Engineering', 'affiliation-city': 'Baton Rouge', 'affiliation-country': 'United States'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",19961944,12
true,https://api.elsevier.com/content/abstract/scopus_id/105043356583,2-s2.0-105043356583,Influence of heat treatment on organization and properties of a novel selective zone laser melting nickel-based high-temperature alloy,Hu B.,Journal of Materials Engineering,10014381,54,150-160,2026-01-20,20 January 2026,10.11868/j.issn.1001-4381.2024.000869,1,"[{'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang Aerospace University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,,1
